url,location,district,price,currency,offer_type,property_type,area,landArea,privateArea,bathRooms,bedRooms,parking,floors,energeticCertificate,lift,fenced,fractions
https://www.era.pt/imovel/moradia-isolada-t4-vila-nova-de-famalicao-lemenhe-mouquim-e-jesufrei-361240395,"Lemenhe, Mouquim e Jesufrei",Braga,359000.0,1.0,1.0,Moradia Isolada,255.0,550.0,255.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t1-lisboa-parque-das-nacoes-042240126,Parque das Nações,Lisboa,420000.0,1.0,1.0,Apartamento,63.0,0.0,63.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/moradia-t2-porto-azevedo-de-campanha--areias-372240283,Azevedo de Campanhã - Areias,Porto,195000.0,1.0,1.0,Moradia,150.0,150.0,190.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/duplex-t3-figueira-da-foz-qta-das-recolhidas-099240042,Qta. das Recolhidas,Figueira da Foz,800.0,1.0,2.0,Duplex,120.0,0.0,120.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-vila-nova-de-famalicao-louro-361240394,Louro,Braga,235000.0,1.0,1.0,Apartamento,135.0,0.0,135.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t3-agueda-assequins-409240033,Assequins,Águeda,140000.0,1.0,1.0,Moradia,141.0,871.0,141.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-novo-lisboa-ajuda-011240084,Ajuda,Lisboa,820000.0,1.0,1.0,Apartamento,100.0,0.0,123.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t2-torres-vedras-santa-maria-sao-pedro-e-matacaes-295240073,"Santa Maria, São Pedro e Matacães",Lisboa,188500.0,1.0,1.0,Moradia,67.0,151.0,96.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t3-braga-priscos-349240028,Priscos,Braga,610000.0,1.0,1.0,Moradia,0.0,765.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t2-santa-cruz-mae-de-deus-322240093,Mãe-de-Deus,Santa Cruz,199000.0,1.0,1.0,Apartamento,88.0,0.0,114.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t2-sintra-agualva--cacem-357240045,Agualva - Cacém,Sintra,240000.0,1.0,1.0,Apartamento,75.0,0.0,86.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-em-banda-t3-braga-priscos-349240027,Priscos,Braga,440000.0,1.0,1.0,Moradia em Banda,0.0,514.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t2-sintra-tapada-das-merces-055240062,Tapada das Mercês,Sintra,160000.0,1.0,1.0,Apartamento,76.0,0.0,83.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t2-figueira-da-foz-buarcos-e-sao-juliao-115240386,Buarcos e São Julião,Coimbra,165000.0,1.0,1.0,Apartamento,86.0,0.0,95.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/moradia-t1-alpiarca-070240175,Alpiarça,Santarém,85000.0,1.0,1.0,Moradia,77.0,355.0,77.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t1-albergaria-a-velha-albergaria-a-velha-e-valmaior-409240032,Albergaria-a-Velha e Valmaior,Aveiro,0.0,1.0,1.0,Apartamento,73.0,0.0,73.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
https://www.era.pt/imovel/moradia-isolada-t8-covilha-casegas-e-ourondo-255240125,Casegas e Ourondo,Castelo Branco,116000.0,1.0,1.0,Moradia Isolada,171.0,4608.0,171.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-vila-nova-de-famalicao-louro-361240393,Louro,Braga,255000.0,1.0,1.0,Apartamento,150.0,0.0,150.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t3-vila-nova-de-famalicao-louro-361240392,Louro,Braga,295000.0,1.0,1.0,Apartamento,150.0,0.0,150.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/terreno-para-construcao-valongo-ermesinde-262240059,Ermesinde,Porto,95000.0,1.0,1.0,Terreno para Construção,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-rustica-tarouca-gouviaes-e-ucanha-358240130,Gouviães e Ucanha,Viseu,200000.0,1.0,1.0,Moradia Rústica,94.0,3563.0,105.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/apartamento-t1-vila-nova-de-famalicao-louro-361240391,Louro,Braga,117000.0,1.0,1.0,Apartamento,45.0,0.0,45.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t5-jardim-sintra-raposeiras-055240061,Raposeiras,Sintra,570000.0,1.0,1.0,Moradia,200.0,520.0,260.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/garagem-olhao-centro-402240067,Centro,Olhão,22000.0,1.0,1.0,Garagem,0.0,0.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/lote-urbano-vila-franca-de-xira-alverca-do-ribatejo-e-sobralinho-261240069,Alverca do Ribatejo e Sobralinho,Lisboa,89000.0,1.0,1.0,Lote,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/terreno-para-construcao-agueda-barro-409240031,Barrô,Águeda,145000.0,1.0,1.0,Terreno para Construção,0.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/moradia-t3-funchal-funchal-santa-luzia-299240254,Funchal (Santa Luzia),Ilha da Madeira,385000.0,1.0,1.0,Moradia,87.0,70.0,87.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.era.pt/imovel/lote-mirandela-410240008,Mirandela,Bragança,89000.0,1.0,1.0,Lote,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/lote-lamego-lamego-almacave-e-se-358240129,Lamego (Almacave e Sé),Viseu,85000.0,1.0,1.0,Lote,0.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.era.pt/imovel/quintinha-t5-vila-nova-de-gaia-vilar-do-paraiso-173240098,Vilar do Paraíso,Vila Nova de Gaia,375000.0,1.0,1.0,Quintinha,130.0,1714.0,131.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
